,Date,username,source,location,tweet,num_of_likes,num_of_retweet,Date1,Month,cleaned_tweets,score,sentiment
0,2022-06-03 23:46:50+00:00,tommatzzie,Twitter for iPhone,"Washington, DC & Bethesda, MD","Hearing about tech layoffs is, of course, sad for the people involved but some really great companies were created during economic downturns by innovative people fresh with motivation and unchained from their prior employer.",2,0,2022-06-03,6,hearing about tech layoffs is of course sad for the people involved but some really great companies were created during economic downturns by innovative people fresh with motivation and unchained from their prior employer,0.9548,Positive
1,2022-06-14 21:52:11+00:00,joshuajhun,Twitter Web App,"San Diego, California",Anyone else nervous about all these tech layoffs? Just me? Okay kewl 😬.,1,0,2022-06-14,6,anyone else nervous about all these tech layoffs just me okay kewl 😬,-0.0772,Negative
2,2022-06-02 14:27:54+00:00,djparker25,Echofon,,Seeing a lot of these tech companies and start ups having layoffs..,0,0,2022-06-02,6,seeing a lot of these tech companies and start ups having layoffs,0.0,Neutral
3,2022-06-16 01:29:06+00:00,blacktechbae,Twitter for iPhone,Abundance💫,What is going on? I opened #linkedin seeing straight layoffs👀👀 #tech #recruitment,0,1,2022-06-16,6,what is going on i opened linkedin seeing straight layoffs👀👀 tech recruitment,0.2263,Positive
4,2022-06-04 01:35:21+00:00,TiredOcean,Twitter Web App,,"kind of sucks that the tech industry seems to be heading into a recession* just before I can change jobs :)

* maybe not a recession but just the speculators finally running out of money to pump into startups etc, but I keep hearing stories about large layoffs",1,0,2022-06-04,6,kind of sucks that the tech industry seems to be heading into a recession just before i can change jobs  maybe not a recession but just the speculators finally running out of money to pump into startups etc but i keep hearing stories about large layoffs,-0.2462,Negative
5,2022-06-08 16:33:11+00:00,philgomes,Twitter Web App,"Views my own, from everywhere.","1 / Free Story Idea 🧵 -- 

As tech companies announce layoffs, keep an eye on the public companies. Here's why...",0,0,2022-06-08,6,  free story idea 🧵  as tech companies announce layoffs keep an eye on the public companies heres why,0.5106,Positive
6,2022-06-11 00:26:03+00:00,BenignoVito,Twitter for iPhone, ,Tech layoffs here . The tech wreck is going to get worst ! Restaurants and food services will be cutting back .Homesales drying up fast . Disaster for new home building . Real estate agents not so goo￼d. Consumer confidence in toilet!,1,3,2022-06-11,6,tech layoffs here  the tech wreck is going to get worst  restaurants and food services will be cutting back homesales drying up fast  disaster for new home building  real estate agents not so goo￼d consumer confidence in toilet,-0.8417,Negative
7,2022-06-14 14:38:14+00:00,sh3ffb,Twitter for iPhone,,all these companies doing layoffs has me soo happy to be in tech. i can gwt laid off but finding something new im not worried about.,0,0,2022-06-14,6,all these companies doing layoffs has me soo happy to be in tech i can gwt laid off but finding something new im not worried about,0.5693,Positive
8,2022-06-15 19:35:26+00:00,jaaybaybay,Twitter for Android,"Toronto, Ontario","If these layoffs aren't a sign to go for what you want when you want it, then idk what is. I've been wanting to get into tech for SO long. Finally got in and now there's a recession and layoffs. Don't doubt yourself",0,1,2022-06-15,6,if these layoffs arent a sign to go for what you want when you want it then idk what is ive been wanting to get into tech for so long finally got in and now theres a recession and layoffs dont doubt yourself,-0.1255,Negative
9,2022-06-14 15:05:17+00:00,themichnkansah,Twitter for Mac,🇬🇧/🇬🇭,You really don’t feel the impact of the layoffs happening in tech until some of your favs send you messages that they just lost their jobs. What in the name of Christ Jesus is happening?,0,0,2022-06-14,6,you really don’t feel the impact of the layoffs happening in tech until some of your favs send you messages that they just lost their jobs what in the name of christ jesus is happening,-0.3182,Negative
10,2022-06-06 17:16:24+00:00,HouseOf_Jules,Twitter for iPhone,"Houston, TX",It’s actually scary seeing people receive their tech job offer only to have it taken away due to layoffs.,2,1,2022-06-06,6,it’s actually scary seeing people receive their tech job offer only to have it taken away due to layoffs,-0.4939,Negative
11,2022-06-05 01:27:02+00:00,afehrenbacher,Twitter for iPhone,United States,The hiring companies are disproportionate to the tech talent ive noticed so theres just a barrage of spam comments of startups trying to sell themselves but not be cringe to anyone posting they were affected by x layoff. I feel like a Tinder/Hinge mutual match model would work,1,0,2022-06-05,6,the hiring companies are disproportionate to the tech talent ive noticed so theres just a barrage of spam comments of startups trying to sell themselves but not be cringe to anyone posting they were affected by x layoff i feel like a tinderhinge mutual match model would work,0.3612,Positive
12,2022-06-22 13:30:32+00:00,ckeIpsh,Twitter for iPhone,,tech jobs are hilarious one moment someone posts they’re getting paid 200k with a year of experience and the next theres a company wide layoff,2,0,2022-06-22,6,tech jobs are hilarious one moment someone posts they’re getting paid  with a year of experience and the next theres a company wide layoff,0.4019,Positive
13,2022-06-04 14:19:55+00:00,ecommurz,Twitter for Android,,"BREAKING: At least 3 more tech-companies reportedly going to layoff their people, some cats reported via DM / MurzBank.

One of them is Tencent Indonesia.",1546,475,2022-06-04,6,breaking at least  more techcompanies reportedly going to layoff their people some cats reported via dm  murzbankone of them is tencent indonesia,0.0,Neutral
14,2022-06-28 19:08:52+00:00,kMwbSrUNjd6OZ3z,Twitter Web App,,6 key financial steps to take after a layoff . Tech firms are laying off workers and Wall Street may be next. Here are key financial moves to make if you lose your job.,0,0,2022-06-28,6, key financial steps to take after a layoff  tech firms are laying off workers and wall street may be next here are key financial moves to make if you lose your job,-0.4019,Negative
15,2022-06-08 12:34:21+00:00,andrictham,Twitter for iPhone,,"Tech company CEOs blaming their poor business decisions on Jerome Powell and Putin seems to be a trend right now.

Make leveraged bets to overhire, suffer drawdowns, layoff employees during an inflationary period, employees suffer.

What you might call moral hazard.",4,0,2022-06-08,6,tech company ceos blaming their poor business decisions on jerome powell and putin seems to be a trend right nowmake leveraged bets to overhire suffer drawdowns layoff employees during an inflationary period employees sufferwhat you might call moral hazard,-0.8689,Negative
16,2022-06-15 12:35:36+00:00,Web3Wizard,Twitter for iPhone,DM’s OPEN ,"Starting a thread to shine 🔦 on any engineers or tech people who have been hit by layoffs in Crypto/Tech Comment/RT and like, time to band together through this tough time. 

As one 🚪 closes another will always open 🪄 

#crypto #techlayoff #web3hiring #hiring #tech #DeFi",2,1,2022-06-15,6,starting a thread to shine 🔦 on any engineers or tech people who have been hit by layoffs in cryptotech commentrt and like time to band together through this tough time as one 🚪 closes another will always open 🪄 crypto techlayoff  hiring tech defi,0.2204,Positive
17,2022-06-03 16:03:20+00:00,rsg,Twitter Web App,Miami,"Bullish signals:
Jobs report better than expected
Russia may be militarily tapped-out
China easing COVID restrictions
Shipping container rates may have peaked

Bearish:
Inflation high
Auto loan defaults up
CC debt way up
Wheat shortage
Layoffs/freezes in tech
Marine fuel &gt;$1k/tn",24,0,2022-06-03,6,bullish signalsjobs report better than expectedrussia may be militarily tappedoutchina easing covid restrictionsshipping container rates may have peakedbearishinflation highauto loan defaults upcc debt way upwheat shortagelayoffsfreezes in techmarine fuel ,0.34,Positive
